Tick,Color,WordItem,WordColor,AnsLeft,AnsRight,AnsCorr,path,weight,name,description,type,pictures,pic_width,pic_height,new_width,new_height,new_size,tick.thisRepN,tick.thisTrialN,tick.thisN,tick.thisIndex,stroop_trials.thisRepN,stroop_trials.thisTrialN,stroop_trials.thisN,stroop_trials.thisIndex,emotion_trials_pos.thisRepN,emotion_trials_pos.thisTrialN,emotion_trials_pos.thisN,emotion_trials_pos.thisIndex,emotion_evaluation_pos.thisRepN,emotion_evaluation_pos.thisTrialN,emotion_evaluation_pos.thisN,emotion_evaluation_pos.thisIndex,emotion_trials_neg.thisRepN,emotion_trials_neg.thisTrialN,emotion_trials_neg.thisN,emotion_trials_neg.thisIndex,emotion_evaluation_neg.thisRepN,emotion_evaluation_neg.thisTrialN,emotion_evaluation_neg.thisN,emotion_evaluation_neg.thisIndex,text_welcome_screen.started,text_welcome_screen.stopped,key_resp_welcome_screen.keys,key_resp_welcome_screen.rt,key_resp_welcome_screen.started,key_resp_welcome_screen.stopped,text_baseline_screen.started,text_baseline_screen.stopped,text_baseline_measurement.started,text_baseline_measurement.stopped,rating_baseline.response,rating_baseline.rt,text_stress_screen.started,text_stress_screen.stopped,sound_1.started,sound_1.stopped,rating_stress_part_one.response,rating_stress_part_one.rt,rating_stress_part_one.started,rating_stress_part_one.stopped,key_resp_stress_part_two.keys,key_resp_stress_part_two.rt,key_resp_stress_part_two.started,key_resp_stress_part_two.stopped,rating_stress_part_two.response,rating_stress_part_two.rt,rating_stress_part_two.started,rating_stress_part_two.stopped,text_cooldown_countdown.started,text_cooldown_countdown.stopped,text_cooldown_measurement.started,text_cooldown_measurement.stopped,rating_cooldown.response,rating_cooldown.rt,rating_cooldown.started,rating_cooldown.stopped,image_emotion_meas_pos.started,image_emotion_meas_pos.stopped,image_emotion_evaluation_pos.started,image_emotion_evaluation_pos.stopped,rating_emotion_evaluation_pos.response,rating_emotion_evaluation_pos.rt,rating_emotion_evaluation_pos.started,rating_emotion_evaluation_pos.stopped,image_emotion_meas_neg.started,image_emotion_meas_neg.stopped,image_emotion_evaluation_neg.started,image_emotion_evaluation_neg.stopped,rating_emotion_evaluation_neg.response,rating_emotion_evaluation_neg.rt,rating_emotion_evaluation_neg.started,rating_emotion_evaluation_neg.stopped,text_ending_screen.started,text_ending_screen.stopped,participant,session,startTime,date,expName,psychopyVersion,frameRate,
74,green,,,,,,,,,,,,,,,,,0,72,72,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497.7925928000186,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
75,green,,,,,,,,,,,,,,,,,0,73,73,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498.7904957999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
76,green,,,,,,,,,,,,,,,,,0,74,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499.7878120999958,500.2875262000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
77,green,,,,,,,,,,,,,,,,,0,75,75,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.79422860001796,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
78,green,,,,,,,,,,,,,,,,,0,76,76,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501.79402090000804,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
79,green,,,,,,,,,,,,,,,,,0,77,77,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502.79390799999237,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
80,green,,,,,,,,,,,,,,,,,0,78,78,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503.7938670000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
81,green,,,,,,,,,,,,,,,,,0,79,79,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504.7939155000204,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
82,green,,,,,,,,,,,,,,,,,0,80,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505.7937855999917,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
83,green,,,,,,,,,,,,,,,,,0,81,81,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506.7940745000087,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
84,green,,,,,,,,,,,,,,,,,0,82,82,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507.79159559999243,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
85,green,,,,,,,,,,,,,,,,,0,83,83,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508.78635999999824,509.28614750001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
86,green,,,,,,,,,,,,,,,,,0,84,84,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509.79429310001433,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
87,green,,,,,,,,,,,,,,,,,0,85,85,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510.793788400013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
88,green,,,,,,,,,,,,,,,,,0,86,86,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511.79397120000795,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
89,green,,,,,,,,,,,,,,,,,0,87,87,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.7950323999976,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
90,green,,,,,,,,,,,,,,,,,0,88,88,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513.7948528999987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
91,green,,,,,,,,,,,,,,,,,0,89,89,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514.7957162999955,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
92,green,,,,,,,,,,,,,,,,,0,90,90,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515.7900271000108,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
93,green,,,,,,,,,,,,,,,,,0,91,91,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516.7854359000048,517.2852780999965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
94,green,,,,,,,,,,,,,,,,,0,92,92,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517.7920311999915,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
95,green,,,,,,,,,,,,,,,,,0,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518.7890754000109,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
96,green,,,,,,,,,,,,,,,,,0,94,94,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519.7902316999971,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
97,green,,,,,,,,,,,,,,,,,0,95,95,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520.7896734999958,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
98,green,,,,,,,,,,,,,,,,,0,96,96,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521.7896505999961,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
99,green,,,,,,,,,,,,,,,,,0,97,97,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522.7891907000158,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
100,green,,,,,,,,,,,,,,,,,0,98,98,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523.7888942999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
101,green,,,,,,,,,,,,,,,,,0,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524.7909263000183,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
102,green,,,,,,,,,,,,,,,,,0,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525.7862771000073,526.2859399000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
103,green,,,,,,,,,,,,,,,,,0,101,101,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526.7942325000186,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
104,green,,,,,,,,,,,,,,,,,0,102,102,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527.7942926000105,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
105,green,,,,,,,,,,,,,,,,,0,103,103,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528.7938399999985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
106,green,,,,,,,,,,,,,,,,,0,104,104,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529.7910502000013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
107,green,,,,,,,,,,,,,,,,,0,105,105,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530.7917499000032,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
108,green,,,,,,,,,,,,,,,,,0,106,106,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531.7913566000061,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
109,green,,,,,,,,,,,,,,,,,0,107,107,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532.7922536999977,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
110,green,,,,,,,,,,,,,,,,,0,108,108,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533.7897593000089,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
111,green,,,,,,,,,,,,,,,,,0,109,109,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534.7912399000197,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
112,green,,,,,,,,,,,,,,,,,0,110,110,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535.7862201000098,536.2858316000202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
113,green,,,,,,,,,,,,,,,,,0,111,111,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536.7922555000114,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
114,green,,,,,,,,,,,,,,,,,0,112,112,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537.7923983999935,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
115,green,,,,,,,,,,,,,,,,,0,113,113,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538.7920721000119,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
116,green,,,,,,,,,,,,,,,,,0,114,114,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539.7923523999925,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
117,green,,,,,,,,,,,,,,,,,0,115,115,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540.7917601999943,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
118,green,,,,,,,,,,,,,,,,,0,116,116,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541.7915118999954,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
119,green,,,,,,,,,,,,,,,,,0,117,117,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542.79102840001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
120,green,,,,,,,,,,,,,,,,,0,118,118,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543.7919760000077,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
121,green,,,,,,,,,,,,,,,,,0,119,119,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544.7920850999944,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
122,green,,,,,,,,,,,,,,,,,0,120,120,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545.7877115000156,546.2873527000193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
123,green,,,,,,,,,,,,,,,,,0,121,121,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546.7914464000205,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
124,green,,,,,,,,,,,,,,,,,0,122,122,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547.790448899992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
125,green,,,,,,,,,,,,,,,,,0,123,123,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548.7880859000143,549.2878818000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
126,green,,,,,,,,,,,,,,,,,0,124,124,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549.7948578000069,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
127,green,,,,,,,,,,,,,,,,,0,125,125,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550.7946777000034,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
128,green,,,,,,,,,,,,,,,,,0,126,126,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551.7949779000191,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
129,green,,,,,,,,,,,,,,,,,0,127,127,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552.7892319000093,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
130,green,,,,,,,,,,,,,,,,,0,128,128,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553.7841775999987,554.2840306000144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
131,green,,,,,,,,,,,,,,,,,0,129,129,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554.7905751999933,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
132,green,,,,,,,,,,,,,,,,,0,130,130,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555.7891614999971,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
133,green,,,,,,,,,,,,,,,,,0,131,131,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556.7859458000166,557.285862699995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
134,green,,,,,,,,,,,,,,,,,0,132,132,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557.7886411999934,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
135,green,,,,,,,,,,,,,,,,,0,133,133,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558.7881343000045,559.2880011000088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
136,green,,,,,,,,,,,,,,,,,0,134,134,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559.7896953000163,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
137,green,,,,,,,,,,,,,,,,,0,135,135,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560.7893864999933,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
138,green,,,,,,,,,,,,,,,,,0,136,136,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561.789308700012,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
139,green,,,,,,,,,,,,,,,,,0,137,137,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562.7891831000161,563.2888445999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
140,green,,,,,,,,,,,,,,,,,0,138,138,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563.7955302000046,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
141,green,,,,,,,,,,,,,,,,,0,139,139,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564.7951480000047,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
142,green,,,,,,,,,,,,,,,,,0,140,140,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565.7933820000035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
143,green,,,,,,,,,,,,,,,,,0,141,141,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566.791324699996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
144,green,,,,,,,,,,,,,,,,,0,142,142,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567.7899913000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
145,green,,,,,,,,,,,,,,,,,0,143,143,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.7864594999992,569.2862220999959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
146,green,,,,,,,,,,,,,,,,,0,144,144,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569.7934391000017,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
147,green,,,,,,,,,,,,,,,,,0,145,145,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570.7931427000149,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
148,green,,,,,,,,,,,,,,,,,0,146,146,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571.7940170000074,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
149,green,,,,,,,,,,,,,,,,,0,147,147,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572.7938247999991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
150,green,,,,,,,,,,,,,,,,,0,148,148,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573.7933667000034,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
151,green,,,,,,,,,,,,,,,,,0,149,149,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.7932744999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
152,green,,,,,,,,,,,,,,,,,0,150,150,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575.7932347000169,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
153,green,,,,,,,,,,,,,,,,,0,151,151,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576.7935007000051,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
154,green,,,,,,,,,,,,,,,,,0,152,152,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577.7938270000159,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
155,green,,,,,,,,,,,,,,,,,0,153,153,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578.7893373999977,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
