Tick,Color,WordItem,WordColor,AnsLeft,AnsRight,AnsCorr,path,weight,name,description,type,pictures,pic_width,pic_height,new_width,new_height,new_size,tick.thisRepN,tick.thisTrialN,tick.thisN,tick.thisIndex,stroop_trials.thisRepN,stroop_trials.thisTrialN,stroop_trials.thisN,stroop_trials.thisIndex,emotion_trials_pos.thisRepN,emotion_trials_pos.thisTrialN,emotion_trials_pos.thisN,emotion_trials_pos.thisIndex,emotion_trials_neg.thisRepN,emotion_trials_neg.thisTrialN,emotion_trials_neg.thisN,emotion_trials_neg.thisIndex,text_welcome_screen.started,text_welcome_screen.stopped,text_baseline_instructions_title.started,text_baseline_instructions_title.stopped,text_baseline_measurement.started,text_baseline_measurement.stopped,rating_baseline.response,rating_baseline.rt,text_part_one_evaluation.started,text_part_one_evaluation.stopped,rating_stress_part_one.response,rating_stress_part_one.rt,text_part_one_evaluation_2.started,text_part_one_evaluation_2.stopped,text_word_item.started,text_word_item.stopped,key_resp_stress_part_two.keys,key_resp_stress_part_two.rt,key_resp_stress_part_two.started,key_resp_stress_part_two.stopped,rating_stress_part_two.response,rating_stress_part_two.rt,text_cooldown_title.started,text_cooldown_title.stopped,text_cooldown.started,text_cooldown.stopped,text_cooldown_instructions_title.started,text_cooldown_instructions_title.stopped,text_cooldown_measurement.started,text_cooldown_measurement.stopped,rating_cooldown.response,rating_cooldown.rt,text_emotion_screen_title.started,text_emotion_screen_title.stopped,text_emotion_screen.started,text_emotion_screen.stopped,text_emotion_screen_pos_title.started,text_emotion_screen_pos_title.stopped,text_emotion_pos_screen.started,text_emotion_pos_screen.stopped,image_emotion_meas_pos.started,image_emotion_meas_pos.stopped,rating_emotion_evaluation_pos.response,rating_emotion_evaluation_pos.rt,text_emotion_screen_neg_title.started,text_emotion_screen_neg_title.stopped,text_emotion_neg_screen.started,text_emotion_neg_screen.stopped,image_emotion_meas_neg.started,image_emotion_meas_neg.stopped,rating_emotion_evaluation_neg.response,rating_emotion_evaluation_neg.rt,text_ending_screen.started,text_ending_screen.stopped,text_ending_subtitle.started,text_ending_subtitle.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,resources\pictures\,Negative\,8185.0,skydiving,.jpg,resources\pictures\Negative\8185.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,12,12,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,907.7161698999989,None,2,1.586,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Negative\,2206.0,fingerprints,.jpg,resources\pictures\Negative\2206.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,13,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,919.3451132999999,None,2,1.595,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Negative\,1112.0,snake at feet,.jpg,resources\pictures\Negative\1112.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,14,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930.9785106999989,None,2,1.514,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Negative\,9584.0,dentist,.jpg,resources\pictures\Negative\9584.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,15,15,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,942.5321156999998,None,2,34.354,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Negative\,2399.0,headache,.jpg,resources\pictures\Negative\2399.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,16,16,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,986.9081030999987,None,2,256.199,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Negative\,2683.0,riot scene 1,.jpg,resources\pictures\Negative\2683.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,17,17,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1253.1350007,None,2,4.099,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Negative\,2221.0,judge,.jpg,resources\pictures\Negative\2221.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,18,18,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1267.2616276999997,None,2,1.124,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Negative\,9417.0,getting a ticket,.jpg,resources\pictures\Negative\9417.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,19,19,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1278.4151461000001,None,2,0.892,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Negative\,2276.0,child crying,.jpg,resources\pictures\Negative\2276.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,20,20,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1289.3290136999985,None,2,1.195,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Negative\,8179.0,bungee jump,.jpg,resources\pictures\Negative\8179.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300.5500104999992,None,2,1.506,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Negative\,1240.0,spider,.jpg,resources\pictures\Negative\1240.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,22,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1312.0789790999988,None,2,1.076,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Negative\,5971.0,tornado 1,.jpg,resources\pictures\Negative\5971.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,23,23,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1323.1811125999993,None,2,0.99,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Negative\,7211.0,5 min before midnight,.jpg,resources\pictures\Negative\7211.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,24,24,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1334.200408499999,None,2,1.046,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Negative\,7590.0,traffic jam,.jpg,resources\pictures\Negative\7590.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,25,25,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1345.2705119999991,None,2,1.508,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Negative\,5972.0,tornado 2,.jpg,resources\pictures\Negative\5972.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,26,26,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1356.8047118999984,None,2,1.183,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Negative\,9280.0,pollution,.jpg,resources\pictures\Negative\9280.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,27,27,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1368.0160687999996,None,2,13.041,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1391.1264297999987,None,1391.1264297999987,None,1396.1297040999998,1401.1300447999984,1411.6288025999984,None,2,3.858,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1421.9115126999986,None,1421.9115126999986,None,,,,,,,
